customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,multiple_lines,online_security,tech_support,streaming_tv,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-100000,Female,1,No,No,20,Month-to-month,DSL,No,No,Yes,No,No,Mailed check,42.87,861.5,1
CUST-100001,Female,0,Yes,No,66,Month-to-month,DSL,No,Yes,No internet service,No,No,Bank transfer (automatic),45.38,3003.8,0
CUST-100002,Female,0,No,Yes,25,Month-to-month,DSL,No,No,No internet service,No,No,Credit card (automatic),48.49,1206.07,0
CUST-100003,Female,1,Yes,No,15,Month-to-month,DSL,No,No,No,Yes,No,Electronic check,51.47,745.91,1
CUST-100004,Female,0,Yes,No,16,Two year,DSL,Yes,No,No,Yes,Yes,Electronic check,65.06,1024.59,0
CUST-100005,Female,0,Yes,No,62,Month-to-month,Fiber optic,No,No,No internet service,Yes,No,Electronic check,81.19,5023.03,0
CUST-100006,Female,0,No,No,4,One year,DSL,No,No,No,Yes,No,Bank transfer (automatic),51.03,182.63,1
CUST-100007,Male,0,Yes,Yes,7,Month-to-month,Fiber optic,No,No internet service,No,Yes,No,Mailed check,82.05,572.95,1
CUST-100008,Male,0,No,No,63,Month-to-month,DSL,No,No,Yes,Yes,Yes,Bank transfer (automatic),62.96,3963.0,1
CUST-100009,Male,1,No,No,32,One year,DSL,No,No internet service,Yes,No internet service,No,Mailed check,57.11,1845.03,0
CUST-100010,Male,0,No,Yes,37,Month-to-month,Fiber optic,No,Yes,No,Yes,Yes,Credit card (automatic),92.99,3449.94,1
CUST-100011,Female,0,Yes,Yes,58,Month-to-month,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,85.96,4979.11,1
CUST-100012,Female,0,Yes,No,10,Month-to-month,Fiber optic,Yes,No,No,No internet service,No,Electronic check,71.53,739.23,1
CUST-100013,Male,0,Yes,No,51,Month-to-month,Fiber optic,Yes,Yes,No internet service,No,No,Credit card (automatic),85.07,4339.6,0
CUST-100014,Male,1,Yes,No,13,Month-to-month,DSL,Yes,No internet service,No,Yes,No,Electronic check,72.83,924.92,1
CUST-100015,Female,1,No,Yes,47,Two year,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Bank transfer (automatic),87.94,4148.46,0
CUST-100016,Male,0,Yes,No,68,Month-to-month,Fiber optic,No,Yes,No internet service,No internet service,Yes,Electronic check,78.07,5270.27,0
CUST-100017,Female,0,Yes,No,60,Month-to-month,Fiber optic,Yes,No internet service,Yes,No,No,Electronic check,83.68,4968.82,0
CUST-100018,Male,0,Yes,Yes,58,Two year,No,No,No,No,Yes,Yes,Bank transfer (automatic),25.98,1489.97,0
CUST-100019,Male,0,No,Yes,48,Month-to-month,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Electronic check,96.17,4624.94,1
CUST-100020,Female,0,No,Yes,42,Month-to-month,Fiber optic,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),106.36,4482.1,1
CUST-100021,Male,0,Yes,Yes,12,Month-to-month,No,Yes,No,No,Yes,Yes,Electronic check,32.1,388.8,1
CUST-100022,Male,0,Yes,No,29,Two year,Fiber optic,No,Yes,No,Yes,Yes,Bank transfer (automatic),97.57,2829.81,0
CUST-100023,Male,0,No,Yes,40,Month-to-month,Fiber optic,Yes,No,No,No internet service,No,Credit card (automatic),79.96,,1
CUST-100024,Female,0,No,No,53,One year,Fiber optic,Yes,No,No,Yes,No,Electronic check,83.63,4461.27,0
CUST-100025,Male,0,Yes,No,21,One year,DSL,Yes,No internet service,No,Yes,No,Electronic check,48.69,1044.68,0
CUST-100026,Female,0,Yes,No,15,Month-to-month,Fiber optic,No,Yes,No,No,Yes,Bank transfer (automatic),81.77,1240.53,1
CUST-100027,Male,0,Yes,No,41,Month-to-month,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Electronic check,86.31,3535.16,1
CUST-100028,Male,0,No,No,30,One year,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,87.81,2636.55,0
CUST-100029,Female,1,Yes,No,33,Two year,No,No,Yes,No,No,No,Electronic check,20.15,662.22,0
CUST-100030,Female,0,No,No,25,One year,Fiber optic,Yes,No,Yes,Yes,Yes,Electronic check,90.3,2220.76,0
CUST-100031,Female,0,No,No,49,Month-to-month,DSL,No,No,Yes,No,Yes,Electronic check,54.28,2700.37,1
CUST-100032,Female,0,Yes,Yes,22,One year,Fiber optic,No,No internet service,No,No,Yes,Mailed check,71.56,1542.54,0
CUST-100033,Female,0,Yes,No,42,Month-to-month,Fiber optic,No,No internet service,No,Yes,Yes,Electronic check,74.45,3131.69,1
CUST-100034,Female,1,No,No,46,Two year,DSL,Yes,No,No,Yes,No,Electronic check,63.78,2919.61,0
CUST-100035,Female,0,No,No,42,Two year,Fiber optic,Yes,Yes,No internet service,No,No,Electronic check,78.84,3306.35,1
CUST-100036,Female,0,No,No,47,One year,Fiber optic,Yes,No,Yes,No,No,Mailed check,84.1,3993.34,1
CUST-100037,Female,0,Yes,No,67,One year,DSL,No,No,Yes,No internet service,Yes,Bank transfer (automatic),62.04,4132.4,0
CUST-100038,Male,1,Yes,No,57,Two year,Fiber optic,No,No,No,No internet service,No,Electronic check,67.02,3821.76,0
CUST-100039,Female,0,No,Yes,4,Month-to-month,No,Yes,Yes,No internet service,No,Yes,Electronic check,29.87,126.12,1
CUST-100040,Male,0,No,Yes,46,One year,DSL,Yes,No,Yes,Yes,Yes,Credit card (automatic),80.46,3693.44,0
CUST-100041,Male,0,Yes,No,70,Month-to-month,DSL,Yes,No,Yes,No,Yes,Electronic check,63.77,4443.39,1
CUST-100042,Female,0,Yes,No,67,One year,Fiber optic,No,No internet service,No,Yes,Yes,Electronic check,82.62,5563.96,0
