name,description,stars_today
HKUDS/Vibe-Trading,"""Vibe-Trading: Your Personal Trading Agent""","1,148 stars today"
Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship.","1,006 stars today"
Graphify-Labs/graphify,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.","1,028 stars today"
github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,508 stars today
PrefectHQ/prefect,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,298 stars today
FoundationAgents/OpenManus,"No fortress, purely open ground. OpenManus is Coming.",126 stars today
virattt/ai-hedge-fund,An AI Hedge Fund Team,364 stars today
smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,86 stars today
TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,265 stars today
p-e-w/heretic,Fully automatic censorship removal for language models,68 stars today
3b1b/manim,Animation engine for explanatory math videos,145 stars today
make-all/tuya-local,Local support for Tuya devices in Home Assistant,8 stars today
Vexa-ai/vexa,"Open-source meeting transcription API for Google Meet, Microsoft Teams & Zoom. Auto-join bots, real-time WebSocket transcripts, MCP server for AI agents. Self-host or use hosted SaaS.",72 stars today
practical-tutorials/project-based-learning,Curated list of project-based tutorials,169 stars today
public-apis/public-apis,A collective list of free APIs,355 stars today
simonlin1212/TradingAgents-astock,"A股多Agent投研框架 — 适配A股数据源(龙虎榜/游资/解禁等)，7位分析师基于A股规则的辩论决策，基于TradingAgents深度改造，适配大A。A-share multi-agent investment research framework — 7 AI analysts, bull/bear debate, risk assessment。",230 stars today
