package,latest_version,summary,author
pandas,3.0.3,"Powerful data structures for data analysis, time series, and statistics",jorisvandenbossche
numpy,2.5.1,Fundamental package for array computing in Python,charlesr.harris
scikit-learn,1.9.0,A set of python modules for machine learning and data mining,adrin
shap,0.52.0,A unified approach to explain the output of any machine learning model.,connortann
requests,2.34.2,Python HTTP for Humans.,graffatcolmingov
beautifulsoup4,4.15.0,Screen-scraping library,leonard
selenium,4.46.0,Official Python bindings for Selenium WebDriver,Corey.Goldberg
matplotlib,3.11.0,Python plotting package,ivanov
seaborn,0.13.2,Statistical data visualization,mwaskom
scrapy,2.17.0,A high-level Web Crawling and Web Scraping framework,dangra
